InventoryRecordID,WeekStartDate,StoreID,ProductID,SupplierID,OpeningUnits,OrderedUnits,ReceivedUnits,ExpectedDemandUnits,FulfilledDemandUnits,ClosingUnits,DaysCover,AvailabilityRate,StockoutHours,EstimatedLostUnits,EstimatedLostSales,EstimatedLostGrossProfit,LateDeliveryDays
IN001334,2026-02-23,ST024,PR068,SUP011,33,18,17,39,39,11,2.0,1.0,0.0,0,0.0,0.0,0
IN001335,2026-02-23,ST024,PR069,SUP011,15,20,19,27,27,7,1.8,1.0,0.0,0,0.0,0.0,0
IN001336,2026-02-23,ST024,PR071,SUP011,14,20,18,26,26,6,1.6,1.0,0.0,0,0.0,0.0,0
IN001337,2026-02-23,ST024,PR072,SUP011,14,12,11,20,20,5,1.8,1.0,0.0,0,0.0,0.0,0
IN001338,2026-02-23,ST024,PR073,SUP003,16,9,9,19,19,6,2.2,1.0,0.0,0,0.0,0.0,0
IN001339,2026-02-23,ST024,PR076,SUP011,8,14,13,17,17,4,1.6,1.0,0.0,0,0.0,0.0,0
IN001340,2026-02-23,ST024,PR077,SUP011,12,25,23,28,28,7,1.8,1.0,0.0,0,0.0,0.0,0
IN001341,2026-02-23,ST025,PR001,SUP001,50,31,29,72,72,7,0.7,1.0,0.0,0,0.0,0.0,0
IN001342,2026-02-23,ST025,PR002,SUP001,17,23,22,36,36,3,0.6,1.0,0.0,0,0.0,0.0,0
IN001343,2026-02-23,ST025,PR004,SUP008,27,37,35,57,57,5,0.6,1.0,0.0,0,0.0,0.0,0
IN001344,2026-02-23,ST025,PR006,SUP012,30,23,23,47,47,6,0.9,1.0,0.0,0,0.0,0.0,0
IN001345,2026-02-23,ST025,PR007,SUP012,20,23,23,38,38,5,0.9,1.0,0.0,0,0.0,0.0,0
IN001346,2026-02-23,ST025,PR008,SUP012,36,19,19,49,49,6,0.9,1.0,0.0,0,0.0,0.0,0
IN001347,2026-02-23,ST025,PR009,SUP011,32,15,13,42,42,3,0.5,1.0,0.0,0,0.0,0.0,0
IN001348,2026-02-23,ST025,PR010,SUP012,14,17,17,28,28,3,0.8,1.0,0.0,0,0.0,0.0,0
IN001349,2026-02-23,ST025,PR011,SUP012,25,12,12,33,33,4,0.8,1.0,0.0,0,0.0,0.0,0
IN001350,2026-02-23,ST025,PR013,SUP011,35,19,16,48,48,3,0.4,1.0,0.0,0,0.0,0.0,0
IN001351,2026-02-23,ST025,PR014,SUP008,31,14,12,40,40,3,0.5,1.0,0.0,0,0.0,0.0,0
IN001352,2026-02-23,ST025,PR015,SUP002,43,35,32,70,70,5,0.5,1.0,0.0,0,0.0,0.0,0
IN001353,2026-02-23,ST025,PR016,SUP002,15,22,20,33,33,2,0.4,1.0,0.0,0,0.0,0.0,0
IN001354,2026-02-23,ST025,PR017,SUP002,16,20,18,32,32,2,0.4,1.0,0.0,0,0.0,0.0,0
IN001355,2026-02-23,ST025,PR018,SUP002,26,26,24,46,46,4,0.6,1.0,0.0,0,0.0,0.0,0
IN001356,2026-02-23,ST025,PR019,SUP002,19,7,6,23,23,2,0.6,1.0,0.0,0,0.0,0.0,0
IN001357,2026-02-23,ST025,PR020,SUP007,27,9,8,32,32,3,0.7,1.0,0.0,0,0.0,0.0,0
IN001358,2026-02-23,ST025,PR021,SUP007,26,22,20,43,43,3,0.5,1.0,0.0,0,0.0,0.0,0
IN001359,2026-02-23,ST025,PR022,SUP002,29,19,17,43,43,3,0.5,1.0,0.0,0,0.0,0.0,0
IN001360,2026-02-23,ST025,PR023,SUP007,25,14,13,35,35,3,0.6,1.0,0.0,0,0.0,0.0,0
IN001361,2026-02-23,ST025,PR027,SUP006,27,16,16,38,38,5,0.9,1.0,0.0,0,0.0,0.0,0
IN001362,2026-02-23,ST025,PR028,SUP006,26,9,9,31,31,4,0.9,1.0,0.0,0,0.0,0.0,0
IN001363,2026-02-23,ST025,PR029,SUP006,21,10,9,28,28,2,0.5,1.0,0.0,0,0.0,0.0,0
IN001364,2026-02-23,ST025,PR031,SUP006,17,19,17,32,32,2,0.4,1.0,0.0,0,0.0,0.0,0
IN001365,2026-02-23,ST025,PR032,SUP006,24,14,14,34,34,4,0.8,1.0,0.0,0,0.0,0.0,0
IN001366,2026-02-23,ST025,PR035,SUP006,22,15,14,33,33,3,0.6,1.0,0.0,0,0.0,0.0,0
IN001367,2026-02-23,ST025,PR038,SUP004,18,10,10,25,25,3,0.8,1.0,0.0,0,0.0,0.0,0
IN001368,2026-02-23,ST025,PR039,SUP004,26,21,20,42,42,4,0.7,1.0,0.0,0,0.0,0.0,0
IN001369,2026-02-23,ST025,PR040,SUP010,19,8,7,24,24,2,0.6,1.0,0.0,0,0.0,0.0,0
IN001370,2026-02-23,ST025,PR041,SUP010,20,7,6,24,24,2,0.6,1.0,0.0,0,0.0,0.0,0
IN001371,2026-02-23,ST025,PR042,SUP004,8,13,12,19,19,1,0.4,1.0,0.0,0,0.0,0.0,0
IN001372,2026-02-23,ST025,PR043,SUP010,15,11,10,23,23,2,0.6,1.0,0.0,0,0.0,0.0,0
IN001373,2026-02-23,ST025,PR047,SUP004,9,9,9,16,16,2,0.9,1.0,0.0,0,0.0,0.0,0
IN001374,2026-02-23,ST025,PR050,SUP004,11,7,7,16,16,2,0.9,1.0,0.0,0,0.0,0.0,0
IN001375,2026-02-23,ST025,PR051,SUP005,9,11,10,18,18,1,0.4,1.0,0.0,0,0.0,0.0,0
IN001376,2026-02-23,ST025,PR052,SUP005,10,3,3,12,12,1,0.6,1.0,0.0,0,0.0,0.0,0
IN001377,2026-02-23,ST025,PR053,SUP005,17,12,11,26,26,2,0.5,1.0,0.0,0,0.0,0.0,0
IN001378,2026-02-23,ST025,PR054,SUP011,16,5,5,19,19,2,0.7,1.0,0.0,0,0.0,0.0,0
IN001379,2026-02-23,ST025,PR055,SUP011,8,12,10,18,18,0,0.0,1.0,0.0,0,0.0,0.0,0
IN001380,2026-02-23,ST025,PR056,SUP005,8,9,8,15,15,1,0.5,1.0,0.0,0,0.0,0.0,0
IN001381,2026-02-23,ST025,PR057,SUP005,14,6,6,18,18,2,0.8,1.0,0.0,0,0.0,0.0,0
IN001382,2026-02-23,ST025,PR059,SUP005,17,7,6,21,21,2,0.7,1.0,0.0,0,0.0,0.0,0
IN001383,2026-02-23,ST025,PR062,SUP003,18,11,10,26,26,2,0.5,1.0,0.0,0,0.0,0.0,0
IN001384,2026-02-23,ST025,PR063,SUP003,21,23,21,39,39,3,0.5,1.0,0.0,0,0.0,0.0,0
IN001385,2026-02-23,ST025,PR064,SUP009,29,10,10,35,35,4,0.8,1.0,0.0,0,0.0,0.0,0
IN001386,2026-02-23,ST025,PR065,SUP009,15,17,16,29,29,2,0.5,1.0,0.0,0,0.0,0.0,0
IN001387,2026-02-23,ST025,PR066,SUP009,20,17,16,33,33,3,0.6,1.0,0.0,0,0.0,0.0,0
IN001388,2026-02-23,ST025,PR067,SUP009,13,16,15,26,26,2,0.5,1.0,0.0,0,0.0,0.0,0
IN001389,2026-02-23,ST025,PR068,SUP011,28,15,15,38,38,5,0.9,1.0,0.0,0,0.0,0.0,0
IN001390,2026-02-23,ST025,PR069,SUP011,21,14,12,31,31,2,0.5,1.0,0.0,0,0.0,0.0,0
IN001391,2026-02-23,ST025,PR071,SUP011,21,24,22,40,40,3,0.5,1.0,0.0,0,0.0,0.0,0
IN001392,2026-02-23,ST025,PR072,SUP011,18,14,13,29,29,2,0.5,1.0,0.0,0,0.0,0.0,0
IN001393,2026-02-23,ST025,PR073,SUP003,16,16,15,29,29,2,0.5,1.0,0.0,0,0.0,0.0,0
IN001394,2026-02-23,ST025,PR076,SUP011,15,14,14,26,26,3,0.8,1.0,0.0,0,0.0,0.0,0
IN001395,2026-02-23,ST025,PR077,SUP011,26,8,8,30,30,4,0.9,1.0,0.0,0,0.0,0.0,0
IN001396,2026-02-23,ST026,PR001,SUP001,54,40,37,72,72,19,1.8,1.0,0.0,0,0.0,0.0,0
IN001397,2026-02-23,ST026,PR002,SUP001,44,22,22,50,50,16,2.2,1.0,0.0,0,0.0,0.0,0
IN001398,2026-02-23,ST026,PR004,SUP008,37,30,28,51,51,14,1.9,1.0,0.0,0,0.0,0.0,0
IN001399,2026-02-23,ST026,PR006,SUP012,25,39,39,49,49,15,2.1,1.0,0.0,0,0.0,0.0,0
IN001400,2026-02-23,ST026,PR007,SUP012,24,23,23,36,36,11,2.1,1.0,0.0,0,0.0,0.0,0
IN001401,2026-02-23,ST026,PR008,SUP012,50,25,25,57,57,18,2.2,1.0,0.0,0,0.0,0.0,0
IN001402,2026-02-23,ST026,PR009,SUP011,23,23,23,35,35,11,2.2,1.0,0.0,0,0.0,0.0,0
IN001403,2026-02-23,ST026,PR010,SUP012,18,30,30,37,37,11,2.1,1.0,0.0,0,0.0,0.0,0
IN001404,2026-02-23,ST026,PR011,SUP012,27,21,21,37,37,11,2.1,1.0,0.0,0,0.0,0.0,0
IN001405,2026-02-23,ST026,PR013,SUP011,33,17,15,38,38,10,1.8,1.0,0.0,0,0.0,0.0,0
IN001406,2026-02-23,ST026,PR014,SUP008,23,27,25,38,38,10,1.8,1.0,0.0,0,0.0,0.0,0
IN001407,2026-02-23,ST026,PR015,SUP002,86,50,46,104,104,28,1.9,1.0,0.0,0,0.0,0.0,0
IN001408,2026-02-23,ST026,PR016,SUP002,50,26,24,58,58,16,1.9,1.0,0.0,0,0.0,0.0,0
IN001409,2026-02-23,ST026,PR017,SUP002,25,40,36,50,50,11,1.5,1.0,0.0,0,0.0,0.0,0
IN001410,2026-02-23,ST026,PR018,SUP002,32,27,25,45,45,12,1.9,1.0,0.0,0,0.0,0.0,0
IN001411,2026-02-23,ST026,PR019,SUP002,23,12,11,27,27,7,1.8,1.0,0.0,0,0.0,0.0,0
IN001412,2026-02-23,ST026,PR020,SUP007,28,26,25,41,41,12,2.0,1.0,0.0,0,0.0,0.0,0
IN001413,2026-02-23,ST026,PR021,SUP007,39,23,22,47,47,14,2.1,1.0,0.0,0,0.0,0.0,0
IN001414,2026-02-23,ST026,PR022,SUP002,43,22,20,50,50,13,1.8,1.0,0.0,0,0.0,0.0,0
IN001415,2026-02-23,ST026,PR023,SUP007,27,14,13,31,31,9,2.0,1.0,0.0,0,0.0,0.0,0
IN001416,2026-02-23,ST026,PR026,SUP002,16,10,9,20,20,5,1.8,1.0,0.0,0,0.0,0.0,0
IN001417,2026-02-23,ST026,PR027,SUP006,36,20,18,43,43,11,1.8,1.0,0.0,0,0.0,0.0,0
IN001418,2026-02-23,ST026,PR028,SUP006,16,27,25,33,33,8,1.7,1.0,0.0,0,0.0,0.0,0
IN001419,2026-02-23,ST026,PR029,SUP006,23,27,27,38,38,12,2.2,1.0,0.0,0,0.0,0.0,0
IN001420,2026-02-23,ST026,PR031,SUP006,28,41,40,53,53,15,2.0,1.0,0.0,0,0.0,0.0,0
IN001421,2026-02-23,ST026,PR032,SUP006,15,16,16,24,24,7,2.0,1.0,0.0,0,0.0,0.0,0
IN001422,2026-02-23,ST026,PR035,SUP006,28,18,17,35,35,10,2.0,1.0,0.0,0,0.0,0.0,0
IN001423,2026-02-23,ST026,PR038,SUP004,22,13,13,27,27,8,2.1,1.0,0.0,0,0.0,0.0,0
IN001424,2026-02-23,ST026,PR039,SUP004,25,27,26,40,40,11,1.9,1.0,0.0,0,0.0,0.0,0
IN001425,2026-02-23,ST026,PR040,SUP010,16,13,13,22,22,7,2.2,1.0,0.0,0,0.0,0.0,0
IN001426,2026-02-23,ST026,PR041,SUP010,20,15,15,27,27,8,2.1,1.0,0.0,0,0.0,0.0,0
IN001427,2026-02-23,ST026,PR042,SUP004,17,14,13,24,24,6,1.8,1.0,0.0,0,0.0,0.0,0
IN001428,2026-02-23,ST026,PR043,SUP010,12,17,17,22,22,7,2.2,1.0,0.0,0,0.0,0.0,0
IN001429,2026-02-23,ST026,PR047,SUP004,19,19,18,29,29,8,1.9,1.0,0.0,0,0.0,0.0,0
IN001430,2026-02-23,ST026,PR050,SUP004,16,15,14,24,24,6,1.8,1.0,0.0,0,0.0,0.0,0
IN001431,2026-02-23,ST026,PR051,SUP005,16,12,11,21,21,6,2.0,1.0,0.0,0,0.0,0.0,0
IN001432,2026-02-23,ST026,PR052,SUP005,16,8,7,18,18,5,1.9,1.0,0.0,0,0.0,0.0,0
IN001433,2026-02-23,ST026,PR053,SUP005,30,18,18,37,37,11,2.1,1.0,0.0,0,0.0,0.0,0
IN001434,2026-02-23,ST026,PR054,SUP011,13,17,17,23,23,7,2.1,1.0,0.0,0,0.0,0.0,0
IN001435,2026-02-23,ST026,PR055,SUP011,20,14,13,26,26,7,1.9,1.0,0.0,0,0.0,0.0,0
IN001436,2026-02-23,ST026,PR056,SUP005,10,14,12,18,18,4,1.6,1.0,0.0,0,0.0,0.0,0
IN001437,2026-02-23,ST026,PR057,SUP005,20,10,9,23,23,6,1.8,1.0,0.0,0,0.0,0.0,0
IN001438,2026-02-23,ST026,PR059,SUP005,11,18,17,22,22,6,1.9,1.0,0.0,0,0.0,0.0,0
IN001439,2026-02-23,ST026,PR062,SUP003,21,27,26,37,37,10,1.9,1.0,0.0,0,0.0,0.0,0
IN001440,2026-02-23,ST026,PR063,SUP003,34,39,36,56,56,14,1.8,1.0,0.0,0,0.0,0.0,0
IN001441,2026-02-23,ST026,PR064,SUP009,28,17,16,34,34,10,2.1,1.0,0.0,0,0.0,0.0,0
IN001442,2026-02-23,ST026,PR065,SUP009,22,32,30,41,41,11,1.9,1.0,0.0,0,0.0,0.0,0
IN001443,2026-02-23,ST026,PR066,SUP009,32,28,27,46,46,13,2.0,1.0,0.0,0,0.0,0.0,0
IN001444,2026-02-23,ST026,PR067,SUP009,12,26,26,29,29,9,2.2,1.0,0.0,0,0.0,0.0,0
IN001445,2026-02-23,ST026,PR068,SUP011,27,40,35,51,51,11,1.5,1.0,0.0,0,0.0,0.0,0
IN001446,2026-02-23,ST026,PR069,SUP011,23,20,20,33,33,10,2.1,1.0,0.0,0,0.0,0.0,0
IN001447,2026-02-23,ST026,PR071,SUP011,21,24,23,34,34,10,2.1,1.0,0.0,0,0.0,0.0,0
IN001448,2026-02-23,ST026,PR072,SUP011,24,23,22,36,36,10,1.9,1.0,0.0,0,0.0,0.0,0
IN001449,2026-02-23,ST026,PR073,SUP003,14,17,16,24,24,6,1.8,1.0,0.0,0,0.0,0.0,0
IN001450,2026-02-23,ST026,PR076,SUP011,15,19,19,26,26,8,2.2,1.0,0.0,0,0.0,0.0,0
IN001451,2026-02-23,ST026,PR077,SUP011,18,17,16,27,27,7,1.8,1.0,0.0,0,0.0,0.0,0
IN001452,2026-02-23,ST027,PR001,SUP001,77,60,54,98,98,33,2.4,1.0,0.0,0,0.0,0.0,0
IN001453,2026-02-23,ST027,PR002,SUP001,24,33,30,41,41,13,2.2,1.0,0.0,0,0.0,0.0,0
IN001454,2026-02-23,ST027,PR004,SUP008,22,48,43,50,50,15,2.1,1.0,0.0,0,0.0,0.0,0
IN001455,2026-02-23,ST027,PR006,SUP012,20,44,43,46,46,17,2.6,1.0,0.0,0,0.0,0.0,0
IN001456,2026-02-23,ST027,PR007,SUP012,25,17,16,30,30,11,2.6,1.0,0.0,0,0.0,0.0,0
IN001457,2026-02-23,ST027,PR008,SUP012,66,40,38,76,76,28,2.6,1.0,0.0,0,0.0,0.0,0
IN001458,2026-02-23,ST027,PR009,SUP011,17,32,30,35,35,12,2.4,1.0,0.0,0,0.0,0.0,0
IN001459,2026-02-23,ST027,PR010,SUP012,16,36,36,37,37,15,2.8,1.0,0.0,0,0.0,0.0,0
IN001460,2026-02-23,ST027,PR011,SUP012,38,24,23,44,44,17,2.7,1.0,0.0,0,0.0,0.0,0
IN001461,2026-02-23,ST027,PR013,SUP011,28,17,16,32,32,12,2.6,1.0,0.0,0,0.0,0.0,0
IN001462,2026-02-23,ST027,PR014,SUP008,23,47,42,50,50,15,2.1,1.0,0.0,0,0.0,0.0,0
IN001463,2026-02-23,ST027,PR015,SUP002,43,97,89,100,100,32,2.2,1.0,0.0,0,0.0,0.0,0
IN001464,2026-02-23,ST027,PR016,SUP002,38,32,30,50,50,18,2.5,1.0,0.0,0,0.0,0.0,0
IN001465,2026-02-23,ST027,PR017,SUP002,45,35,32,57,57,20,2.5,1.0,0.0,0,0.0,0.0,0
IN001466,2026-02-23,ST027,PR018,SUP002,48,53,49,72,72,25,2.4,1.0,0.0,0,0.0,0.0,0
IN001467,2026-02-23,ST027,PR019,SUP002,28,27,25,39,39,14,2.5,1.0,0.0,0,0.0,0.0,0
IN001468,2026-02-23,ST027,PR020,SUP007,36,24,19,43,43,12,2.0,1.0,0.0,0,0.0,0.0,1
IN001469,2026-02-23,ST027,PR021,SUP007,42,48,37,64,64,15,1.6,1.0,0.0,0,0.0,0.0,1
IN001470,2026-02-23,ST027,PR022,SUP002,25,24,23,35,35,13,2.6,1.0,0.0,0,0.0,0.0,0
IN001471,2026-02-23,ST027,PR023,SUP007,31,38,29,49,49,11,1.6,1.0,0.0,0,0.0,0.0,1
IN001472,2026-02-23,ST027,PR026,SUP002,25,18,18,31,31,12,2.7,1.0,0.0,0,0.0,0.0,0
IN001473,2026-02-23,ST027,PR027,SUP006,21,35,34,40,40,15,2.6,1.0,0.0,0,0.0,0.0,0
IN001474,2026-02-23,ST027,PR028,SUP006,31,29,28,43,43,16,2.6,1.0,0.0,0,0.0,0.0,0
IN001475,2026-02-23,ST027,PR029,SUP006,14,31,29,32,32,11,2.4,1.0,0.0,0,0.0,0.0,0
IN001476,2026-02-23,ST027,PR031,SUP006,21,38,35,42,42,14,2.3,1.0,0.0,0,0.0,0.0,0
IN001477,2026-02-23,ST027,PR032,SUP006,21,32,30,38,38,13,2.4,1.0,0.0,0,0.0,0.0,0
IN001478,2026-02-23,ST027,PR035,SUP006,25,28,25,38,38,12,2.2,1.0,0.0,0,0.0,0.0,0
IN001479,2026-02-23,ST027,PR038,SUP004,25,24,23,35,35,13,2.6,1.0,0.0,0,0.0,0.0,0
IN001480,2026-02-23,ST027,PR039,SUP004,36,24,22,43,43,15,2.4,1.0,0.0,0,0.0,0.0,0
IN001481,2026-02-23,ST027,PR040,SUP010,12,15,9,19,19,2,0.7,1.0,0.0,0,0.0,0.0,3
IN001482,2026-02-23,ST027,PR041,SUP010,35,21,13,40,40,8,1.4,1.0,0.0,0,0.0,0.0,3
IN001483,2026-02-23,ST027,PR042,SUP004,18,30,28,34,34,12,2.5,1.0,0.0,0,0.0,0.0,0
IN001484,2026-02-23,ST027,PR043,SUP010,15,17,10,23,23,2,0.6,1.0,0.0,0,0.0,0.0,3
IN001485,2026-02-23,ST027,PR047,SUP004,14,13,12,19,19,7,2.6,1.0,0.0,0,0.0,0.0,0
IN001486,2026-02-23,ST027,PR050,SUP004,20,18,17,27,27,10,2.6,1.0,0.0,0,0.0,0.0,0
IN001487,2026-02-23,ST027,PR051,SUP005,27,16,14,31,31,10,2.3,1.0,0.0,0,0.0,0.0,0
IN001488,2026-02-23,ST027,PR052,SUP005,10,15,14,18,18,6,2.3,1.0,0.0,0,0.0,0.0,0
IN001489,2026-02-23,ST027,PR053,SUP005,16,18,16,24,24,8,2.3,1.0,0.0,0,0.0,0.0,0
IN001490,2026-02-23,ST027,PR054,SUP011,8,17,14,18,18,4,1.6,1.0,0.0,0,0.0,0.0,0
IN001491,2026-02-23,ST027,PR055,SUP011,20,12,11,23,23,8,2.4,1.0,0.0,0,0.0,0.0,0
IN001492,2026-02-23,ST027,PR056,SUP005,13,16,14,21,21,6,2.0,1.0,0.0,0,0.0,0.0,0
IN001493,2026-02-23,ST027,PR057,SUP005,20,14,13,24,24,9,2.6,1.0,0.0,0,0.0,0.0,0
IN001494,2026-02-23,ST027,PR059,SUP005,14,15,15,21,21,8,2.7,1.0,0.0,0,0.0,0.0,0
IN001495,2026-02-23,ST027,PR062,SUP003,16,29,29,32,32,13,2.8,1.0,0.0,0,0.0,0.0,0
IN001496,2026-02-23,ST027,PR063,SUP003,40,48,45,63,63,22,2.4,1.0,0.0,0,0.0,0.0,0
IN001497,2026-02-23,ST027,PR064,SUP009,26,36,35,44,44,17,2.7,1.0,0.0,0,0.0,0.0,0
IN001498,2026-02-23,ST027,PR065,SUP009,18,32,31,36,36,13,2.5,1.0,0.0,0,0.0,0.0,0
IN001499,2026-02-23,ST027,PR066,SUP009,20,39,38,42,42,16,2.7,1.0,0.0,0,0.0,0.0,0
IN001500,2026-02-23,ST027,PR067,SUP009,18,25,24,31,31,11,2.5,1.0,0.0,0,0.0,0.0,0
IN001501,2026-02-23,ST027,PR068,SUP011,50,59,52,78,78,24,2.2,1.0,0.0,0,0.0,0.0,0
IN001502,2026-02-23,ST027,PR069,SUP011,44,30,30,53,53,21,2.8,1.0,0.0,0,0.0,0.0,0
IN001503,2026-02-23,ST027,PR071,SUP011,14,28,25,30,30,9,2.1,1.0,0.0,0,0.0,0.0,0
IN001504,2026-02-23,ST027,PR072,SUP011,42,29,27,51,51,18,2.5,1.0,0.0,0,0.0,0.0,0
IN001505,2026-02-23,ST027,PR073,SUP003,18,32,32,36,36,14,2.7,1.0,0.0,0,0.0,0.0,0
IN001506,2026-02-23,ST027,PR076,SUP011,27,30,29,41,41,15,2.6,1.0,0.0,0,0.0,0.0,0
IN001507,2026-02-23,ST027,PR077,SUP011,14,28,26,30,30,10,2.3,1.0,0.0,0,0.0,0.0,0
IN001508,2026-02-23,ST028,PR001,SUP001,36,18,17,48,48,5,0.7,1.0,0.0,0,0.0,0.0,0
IN001509,2026-02-23,ST028,PR002,SUP001,24,10,10,30,30,4,0.9,1.0,0.0,0,0.0,0.0,0
IN001510,2026-02-23,ST028,PR004,SUP008,18,16,14,30,30,2,0.5,1.0,0.0,0,0.0,0.0,0
IN001511,2026-02-23,ST028,PR006,SUP012,18,6,6,21,21,3,1.0,1.0,0.0,0,0.0,0.0,0
IN001512,2026-02-23,ST028,PR007,SUP012,16,10,10,23,23,3,0.9,1.0,0.0,0,0.0,0.0,0
IN001513,2026-02-23,ST028,PR008,SUP012,13,14,14,24,24,3,0.9,1.0,0.0,0,0.0,0.0,0
IN001514,2026-02-23,ST028,PR009,SUP011,19,11,10,27,27,2,0.5,1.0,0.0,0,0.0,0.0,0
IN001515,2026-02-23,ST028,PR010,SUP012,13,14,14,24,24,3,0.9,1.0,0.0,0,0.0,0.0,0
IN001516,2026-02-23,ST028,PR011,SUP012,20,7,7,24,24,3,0.9,1.0,0.0,0,0.0,0.0,0
IN001517,2026-02-23,ST028,PR013,SUP011,15,7,7,20,20,2,0.7,1.0,0.0,0,0.0,0.0,0
IN001518,2026-02-23,ST028,PR014,SUP008,18,12,11,27,27,2,0.5,1.0,0.0,0,0.0,0.0,0
IN001519,2026-02-23,ST028,PR015,SUP002,20,34,29,48,48,1,0.1,1.0,0.0,0,0.0,0.0,0
IN001520,2026-02-23,ST028,PR016,SUP002,42,13,11,49,49,4,0.6,1.0,0.0,0,0.0,0.0,0
IN001521,2026-02-23,ST028,PR017,SUP002,23,11,9,30,30,2,0.5,1.0,0.0,0,0.0,0.0,0
IN001522,2026-02-23,ST028,PR018,SUP002,12,17,15,26,26,1,0.3,1.0,0.0,0,0.0,0.0,0
IN001523,2026-02-23,ST028,PR019,SUP002,16,9,8,22,22,2,0.6,1.0,0.0,0,0.0,0.0,0
IN001524,2026-02-23,ST028,PR020,SUP007,18,13,12,28,28,2,0.5,1.0,0.0,0,0.0,0.0,0
IN001525,2026-02-23,ST028,PR021,SUP007,29,26,24,49,49,4,0.6,1.0,0.0,0,0.0,0.0,0
IN001526,2026-02-23,ST028,PR022,SUP002,26,13,11,35,35,2,0.4,1.0,0.0,0,0.0,0.0,0
IN001527,2026-02-23,ST028,PR023,SUP007,14,14,13,25,25,2,0.6,1.0,0.0,0,0.0,0.0,0
IN001528,2026-02-23,ST028,PR027,SUP006,20,10,6,27,26,0,0.0,0.963,3.1,1,40.94,9.74,3
IN001529,2026-02-23,ST028,PR028,SUP006,24,12,7,32,31,0,0.0,0.9688,2.6,1,35.23,10.35,3
IN001530,2026-02-23,ST028,PR029,SUP006,8,14,9,20,16,1,0.3,0.8,16.8,3,149.13,33.99,3
IN001531,2026-02-23,ST028,PR031,SUP006,23,8,5,28,27,1,0.2,0.9643,3.0,1,55.17,11.95,3
IN001532,2026-02-23,ST028,PR032,SUP006,12,15,9,24,20,1,0.3,0.8333,14.0,3,172.44,34.8,3
IN001533,2026-02-23,ST028,PR035,SUP006,14,4,2,16,16,0,0.0,1.0,0.0,0,0.0,0.0,3
IN001534,2026-02-23,ST028,PR038,SUP004,10,15,14,22,22,2,0.6,1.0,0.0,0,0.0,0.0,0
IN001535,2026-02-23,ST028,PR039,SUP004,19,13,12,29,29,2,0.5,1.0,0.0,0,0.0,0.0,0
IN001536,2026-02-23,ST028,PR040,SUP010,6,9,9,13,13,2,1.1,1.0,0.0,0,0.0,0.0,0
IN001537,2026-02-23,ST028,PR041,SUP010,8,11,10,17,17,1,0.4,1.0,0.0,0,0.0,0.0,0
IN001538,2026-02-23,ST028,PR042,SUP004,7,12,11,17,17,1,0.4,1.0,0.0,0,0.0,0.0,0
IN001539,2026-02-23,ST028,PR043,SUP010,13,7,7,18,18,2,0.8,1.0,0.0,0,0.0,0.0,0
IN001540,2026-02-23,ST028,PR047,SUP004,5,8,7,12,12,0,0.0,1.0,0.0,0,0.0,0.0,0
IN001541,2026-02-23,ST028,PR050,SUP004,8,10,9,16,16,1,0.4,1.0,0.0,0,0.0,0.0,0
IN001542,2026-02-23,ST028,PR051,SUP005,10,3,3,12,12,1,0.6,1.0,0.0,0,0.0,0.0,0
IN001543,2026-02-23,ST028,PR052,SUP005,11,6,6,15,15,2,0.9,1.0,0.0,0,0.0,0.0,0
IN001544,2026-02-23,ST028,PR053,SUP005,17,5,5,20,20,2,0.7,1.0,0.0,0,0.0,0.0,0
IN001545,2026-02-23,ST028,PR054,SUP011,15,7,6,20,20,1,0.3,1.0,0.0,0,0.0,0.0,0
IN001546,2026-02-23,ST028,PR055,SUP011,6,9,8,13,13,1,0.5,1.0,0.0,0,0.0,0.0,0
IN001547,2026-02-23,ST028,PR056,SUP005,13,4,4,15,15,2,0.9,1.0,0.0,0,0.0,0.0,0
IN001548,2026-02-23,ST028,PR057,SUP005,11,6,6,15,15,2,0.9,1.0,0.0,0,0.0,0.0,0
IN001549,2026-02-23,ST028,PR059,SUP005,7,8,7,13,13,1,0.5,1.0,0.0,0,0.0,0.0,0
IN001550,2026-02-23,ST028,PR062,SUP003,14,17,17,28,28,3,0.8,1.0,0.0,0,0.0,0.0,0
IN001551,2026-02-23,ST028,PR063,SUP003,23,16,15,35,35,3,0.6,1.0,0.0,0,0.0,0.0,0
IN001552,2026-02-23,ST028,PR064,SUP009,13,15,14,25,25,2,0.6,1.0,0.0,0,0.0,0.0,0
IN001553,2026-02-23,ST028,PR065,SUP009,9,13,12,20,20,1,0.3,1.0,0.0,0,0.0,0.0,0
IN001554,2026-02-23,ST028,PR066,SUP009,10,16,15,23,23,2,0.6,1.0,0.0,0,0.0,0.0,0
IN001555,2026-02-23,ST028,PR067,SUP009,16,8,7,21,21,2,0.7,1.0,0.0,0,0.0,0.0,0
IN001556,2026-02-23,ST028,PR068,SUP011,21,15,14,32,32,3,0.7,1.0,0.0,0,0.0,0.0,0
IN001557,2026-02-23,ST028,PR069,SUP011,15,14,13,26,26,2,0.5,1.0,0.0,0,0.0,0.0,0
IN001558,2026-02-23,ST028,PR071,SUP011,8,12,11,18,18,1,0.4,1.0,0.0,0,0.0,0.0,0
IN001559,2026-02-23,ST028,PR072,SUP011,13,14,14,24,24,3,0.9,1.0,0.0,0,0.0,0.0,0
